,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buarcos,40.17,-8.88,73.99,78,20,12.75,PT,1595939368
1,jamestown,42.1,-79.24,72,88,1,5.82,US,1595939368
2,vaini,-21.2,-175.2,69.8,77,20,10.29,TO,1595939361
3,kapaa,22.08,-159.32,78.8,83,90,19.46,US,1595939369
4,karpinsk,59.77,60.01,68.4,45,82,4.76,RU,1595939369
5,bluff,-46.6,168.33,44.01,85,100,1.99,NZ,1595939362
6,wildwood,38.58,-90.66,72,94,1,3.36,US,1595939369
7,saint george,37.1,-113.58,79,33,1,8.05,US,1595939369
8,nikolskoye,59.7,30.79,66.99,88,75,6.71,RU,1595939369
9,axim,4.87,-2.24,77.04,79,100,9.89,GH,1595939111
10,doctor pedro p. pena,,,,,,,,
11,bowen,-20.02,148.23,55.99,87,0,5.82,AU,1595939369
12,hilo,19.73,-155.09,78.8,74,75,5.82,US,1595939361
13,aosta,45.77,7.42,87.8,45,7,12.75,IT,1595939369
14,moore,35.34,-97.49,73.99,94,90,1.05,US,1595939370
15,cape town,-33.93,18.42,60.8,63,40,23.04,ZA,1595939317
16,padang,-0.95,100.35,73.4,100,40,8.05,ID,1595939225
17,rocha,-34.48,-54.33,43.45,84,25,11.54,UY,1595939370
18,haines junction,60.75,-137.51,43.34,77,93,2.86,CA,1595939353
19,hermanus,-34.42,19.23,57.99,78,72,10,ZA,1595939350
20,faanui,-16.48,-151.75,78.26,80,38,17.83,PF,1595939361
21,mataura,-46.19,168.86,44.01,85,100,1.99,NZ,1595939370
22,busselton,-33.65,115.33,53.01,84,80,7.92,AU,1595939366
23,nouadhibou,20.93,-17.03,84.2,58,3,12.75,MR,1595939370
24,puerto ayora,-0.74,-90.35,64.99,98,94,1.99,EC,1595939370
25,bonavista,48.65,-53.11,57.09,85,98,10.13,CA,1595939371
26,marawi,8,124.29,73.99,94,100,5.99,PH,1595939371
27,lata,40.16,-8.33,82.99,58,43,5.99,PT,1595939371
28,mar del plata,-38,-57.56,39.99,77,20,11.41,AR,1595939371
29,new norfolk,-42.78,147.06,43,88,59,2.21,AU,1595939371
30,vila,42.03,-8.16,84.99,50,27,5.01,PT,1595939371
31,lompoc,34.64,-120.46,57.2,87,90,6.35,US,1595939371
32,jiddah,,,,,,,,
33,rikitea,-23.12,-134.97,71.96,82,82,14.16,PF,1595939361
34,lagoa,39.05,-27.98,73.09,86,0,7,PT,1595939371
35,egvekinot,66.32,-179.17,44.19,77,89,3.71,RU,1595939328
36,kulunda,52.57,78.94,75.58,47,76,14.63,RU,1595939372
37,lavrentiya,65.58,-171,45.34,80,92,9.66,RU,1595939372
38,atuona,-9.8,-139.03,79.52,72,29,25.1,PF,1595939361
39,albany,42.6,-73.97,75,80,29,1.99,US,1595939372
40,kaputa,-8.47,29.66,78.21,38,6,4.97,ZM,1595939372
41,port alfred,-33.59,26.89,74.07,28,3,7.4,ZA,1595939372
42,russell,32.35,-85.2,77,94,40,4.88,US,1595939372
43,qaanaaq,77.48,-69.36,43.3,61,0,3.58,GL,1595939352
44,punta arenas,-53.15,-70.92,37.4,74,29,24.16,CL,1595939372
45,codrington,-38.27,141.97,46.54,89,100,3.51,AU,1595939372
46,suez,29.97,32.53,101.41,19,0,12.28,EG,1595939373
47,tezu,27.92,96.17,81.75,81,98,0.38,IN,1595939247
48,kachiry,53.07,76.1,75.2,42,53,9.08,KZ,1595939373
49,sitka,57.05,-135.33,53.6,93,90,1.57,US,1595939373
50,taolanaro,,,,,,,,
51,sao borja,-28.66,-56,47.23,82,66,15.84,BR,1595939373
52,riyadh,24.69,46.72,114.8,15,40,4.7,SA,1595939109
53,camargo,27.67,-105.17,69.67,71,0,5.91,MX,1595939373
54,ushuaia,-54.8,-68.3,33.8,86,75,31.09,AR,1595939361
55,mentok,,,,,,,,
56,sao filipe,14.9,-24.5,76.51,77,82,4.94,CV,1595939374
57,karratha,-20.74,116.85,69.46,51,0,3.49,AU,1595939097
58,ambodifototra,,,,,,,,
59,madaripur,23.18,90.21,87.4,77,99,8.16,BD,1595939375
60,marystown,47.17,-55.15,62.62,87,79,0.89,CA,1595939375
61,palmer,42.16,-72.33,81,83,20,4.14,US,1595939375
62,yellowknife,62.46,-114.35,62.01,100,40,3.36,CA,1595939355
63,salalah,17.02,54.09,84.2,83,75,13.87,OM,1595939375
64,baculin,7.45,126.58,80.28,80,88,3.71,PH,1595939375
65,san quintin,30.48,-115.95,64.65,89,10,10.02,MX,1595939375
66,gornyak,50.99,81.47,64.87,68,82,11.65,RU,1595939375
67,bengkulu,-3.8,102.27,78.94,84,79,10.36,ID,1595939169
68,chicama,-7.84,-79.15,59.45,82,8,2.95,PE,1595939375
69,tura,25.52,90.22,78.44,94,100,5.1,IN,1595939376
70,alofi,-19.06,-169.92,66.2,93,8,3.36,NU,1595939361
71,muriwai beach,-36.82,174.45,53.01,91,89,1.99,NZ,1595939367
72,dzhebariki-khaya,62.22,135.8,62.04,88,84,2.73,RU,1595939376
73,khatanga,71.97,102.5,61.9,46,0,4.5,RU,1595939376
74,katobu,-4.94,122.53,73.24,89,92,4.85,ID,1595939376
75,haibowan,,,,,,,,
